source_id,title,url,source_type,publisher_class,source_date,tier_research,fulltext_status,chat_covered,needs_recheck,dedupe_key,promotion_target,handbook_delta,notes_short
src_arxiv_2603_11808_20260312,arXiv:2603.11808 – Repo-to-skill knowledge transfer preprint,https://arxiv.org/abs/2603.11808,preprint,arxiv,2026-03-12,b,page-reviewed,yes,yes,arxiv:2603.11808,handbook_candidate,medium_high,Skill extraction from OSS agent repos into reusable skill specs; strong transfer claim but artifact/eval recheck needed.
src_fabro_20260318,GitHub – fabro-sh/fabro,https://github.com/fabro-sh/fabro,github-repo,company-repo,2026-03-18,c,readme-reviewed,yes,yes,github:fabro-sh/fabro,handbook_candidate,high,"Workflow-graph orchestration with human gates, multi-model routing, cloud sandboxes, git checkpointing, and retrospectives."
src_openjarvis_20260318,GitHub – open-jarvis/OpenJarvis,https://github.com/open-jarvis/OpenJarvis,github-repo,community-repo,2026-03-18,c,readme-reviewed,yes,yes,github:open-jarvis/OpenJarvis,blackboard_only,medium,Local-first personal AI stack with on-device agents and memory loops; only indirect ASWE relevance so keep blackboard-only.
src_codefire_20260318,GitHub – websitebutlers/codefire-app,https://github.com/websitebutlers/codefire-app,github-repo,company-repo,2026-03-18,c,readme-plus-selected-files,yes,yes,github:websitebutlers/codefire-app,handbook_candidate,high,"Persistent project memory companion via MCP with SQLite schema, local server, search, browser automation, and cross-CLI setup."
src_publicapis_marcelscruz_20260319,GitHub – marcelscruz/public-apis,https://github.com/marcelscruz/public-apis,awesome-list,curated-link-list,2026-03-19,d,readme-reviewed,yes,yes,github:marcelscruz/public-apis,blackboard_only,low,"API directory/discovery surface; useful as ecosystem background, not as a direct ASWE method source."
src_mcpplaywright_20260319,GitHub – executeautomation/mcp-playwright,https://github.com/executeautomation/mcp-playwright,github-repo,community-repo,2026-03-19,c,readme-reviewed,yes,yes,github:executeautomation/mcp-playwright,handbook_candidate,medium_high,"MCP execution adapter for browser automation, scraping, screenshots, JS execution, and device emulation."
src_gitclaw_20260319,GitHub – open-gitagent/gitclaw,https://github.com/open-gitagent/gitclaw,github-repo,community-repo,2026-03-19,c,readme-reviewed,yes,yes,github:open-gitagent/gitclaw,handbook_candidate,high,"Agents-as-repos model with agent.yaml, SOUL.md, memory, skills, hooks, and repo/session branch mechanics."
src_sweaf_20260319,GitHub – Agent-Field/SWE-AF,https://github.com/Agent-Field/SWE-AF,github-repo,research-repo,2026-03-19,b,readme-reviewed,yes,yes,github:Agent-Field/SWE-AF,handbook_candidate,high,"Autonomous engineering factory with PRD, issue DAGs, parallel worktrees, coder/tester/reviewer roles, and verification passes."
src_dlt_20260320,GitHub – dlt-hub/dlt,https://github.com/dlt-hub/dlt,github-repo,company-repo,2026-03-20,d,readme-reviewed,yes,yes,github:dlt-hub/dlt,blackboard_only,low,Data-loading/ETL substrate with some agent-friendly surfaces; indirect ASWE relevance only.
src_chunkhound_20260320,GitHub – chunkhound/chunkhound,https://github.com/chunkhound/chunkhound,github-repo,company-repo,2026-03-20,c,readme-reviewed,yes,yes,github:chunkhound/chunkhound,handbook_candidate,medium_high,"Local-first codebase intelligence with semantic chunking, multi-hop search, real-time indexing, and MCP exposure."
