source_id,title,url,source_type,publisher_class,source_date,tier_research,fulltext_status,chat_covered,needs_recheck,dedupe_key,promotion_target,handbook_delta,notes_short
src_openai_harness_engineering_20260211,OpenAI – Harness engineering: leveraging Codex in an agent-first world,https://openai.com/index/harness-engineering/,blog,vendor-engineering-blog,2026-02-11,c,fulltext-reviewed,yes,no,url:openai.com/index/harness-engineering,handbook_candidate,high,"Repo as SSOT; AGENTS.md as map; structural tests, observability, doc-gardening."
src_openai_skills_in_api_20260210,OpenAI Cookbook – Skills in OpenAI API,https://developers.openai.com/cookbook/examples/skills_in_api/,cookbook-doc,vendor-docs,2026-02-10,c,fulltext-reviewed,yes,no,url:developers.openai.com/cookbook/examples/skills_in_api,template_candidate,high,Skills as versioned procedure bundles; clear boundary to tools/system prompt.
src_openai_skills_shell_tips_20260211,OpenAI Developer Blog – Shell + Skills + Compaction: Tips for long-running agents that do real work,https://developers.openai.com/blog/skills-shell-tips,blog,vendor-engineering-blog,2026-02-11,c,fulltext-reviewed,yes,no,url:developers.openai.com/blog/skills-shell-tips,template_candidate,high,Routing via skill descriptions; compaction; /mnt/data boundary; network safety.
src_github_agentic_workflows_20260213,GitHub Changelog – GitHub Agentic Workflows are now in technical preview,https://github.blog/changelog/2026-02-13-github-agentic-workflows-are-now-in-technical-preview/,changelog,platform-blog,2026-02-13,c,fulltext-reviewed,yes,yes,url:github.blog/changelog/2026-02-13-github-agentic-workflows-are-now-in-technical-preview,handbook_candidate,high,Markdown-defined workflows compiled to Actions; safe outputs; least privilege.
src_x_clawwork_status_2023282092042580015,X status – ClawWork demo / economic-pressure coding agent claim,https://x.com/i/status/2023282092042580015,social-post,social-media,2026-02-??,c,snippet-only,yes,yes,x-status:2023282092042580015,blackboard_only,low,Transcript unavailable in chat; do not promote without primary artifact.
src_antigravity_awesome_skills_20260310,GitHub – sickn33/antigravity-awesome-skills,https://github.com/sickn33/antigravity-awesome-skills,github-repo,community-repo,2026-03-10,c,readme-plus-selected-files,yes,yes,github:sickn33/antigravity-awesome-skills,template_candidate,medium_high,Large skill library; validation schema and risk-level hints; glossary collision risk.
src_arxiv_2602_11865_20260212,arXiv:2602.11865 – Intelligent AI Delegation,https://arxiv.org/abs/2602.11865,preprint,arxiv,2026-02-12,b,fulltext-reviewed,yes,no,arxiv:2602.11865,handbook_candidate,high,Delegation as authority/responsibility/accountability design problem; monitoring modes.
src_visual_explainer_20260310,GitHub – nicobailon/visual-explainer,https://github.com/nicobailon/visual-explainer,github-repo,community-repo,2026-03-10,c,readme-reviewed,yes,yes,github:nicobailon/visual-explainer,template_candidate,medium_high,Review artifacts as HTML pages; useful as readable-output pattern.
src_agno_20260310,GitHub – agno-agi/agno,https://github.com/agno-agi/agno,github-repo,community-repo,2026-03-10,c,readme-reviewed,yes,yes,github:agno-agi/agno,handbook_candidate,high,"SDK/Engine/AgentOS layering; approval flows, auditability, runtime focus."
src_arxiv_2602_11988_20260212,arXiv:2602.11988 – Evaluating AGENTS.md: Are Repository-Level Context Files Helpful for Coding Agents?,https://arxiv.org/abs/2602.11988,preprint,arxiv,2026-02-12,b,fulltext-reviewed,yes,no,arxiv:2602.11988,handbook_candidate,very_high,Minimal AGENTS.md policy; more context can hurt; A/B evaluation evidence.
src_longshot_devpost_20260215,Devpost – Longshot,https://devpost.com/software/longshot,hackathon-page,hackathon-project,2026-02-15,c,page-reviewed,yes,yes,devpost:longshot,blackboard_only,medium_high,"Spec-lock, merge queue, reconciler, JSON handoff; strong pattern value but self-reported."
src_automaton_20260310,GitHub – Conway-Research/automaton,https://github.com/Conway-Research/automaton,github-repo,community-repo,2026-03-10,c,readme-reviewed,yes,yes,github:Conway-Research/automaton,blackboard_only,medium,"Extreme autonomy case: self-modification, replication, survival tiers, on-chain identity."
src_superpowers_20260310,GitHub – obra/superpowers,https://github.com/obra/superpowers,github-repo,community-repo,2026-03-10,c,readme-plus-selected-files,yes,no,github:obra/superpowers,template_candidate,high,Skill-driven SDLC with strict spec→plan→execute→review flow and hard TDD gate.
src_gitnexus_20260310,GitHub – abhigyanpatwari/GitNexus,https://github.com/abhigyanpatwari/GitNexus,github-repo,community-repo,2026-03-10,c,readme-reviewed,yes,yes,github:abhigyanpatwari/GitNexus,handbook_candidate,high,Knowledge-graph substrate with smart MCP tools; impact/context/change-risk pattern.
src_agent_orchestrator_20260310,GitHub – ComposioHQ/agent-orchestrator,https://github.com/ComposioHQ/agent-orchestrator,github-repo,community-repo,2026-03-10,c,readme-plus-architecture-security,yes,no,github:ComposioHQ/agent-orchestrator,handbook_candidate,high,"Parallel agent control-plane via worktrees, reactions, plugin slots, runtime state."
src_production_grade_agentic_system_20260310,GitHub – FareedKhan-dev/production-grade-agentic-system,https://github.com/FareedKhan-dev/production-grade-agentic-system?tab=readme-ov-file,github-repo,community-repo,2026-03-10,c,readme-reviewed,yes,yes,github:FareedKhan-dev/production-grade-agentic-system,handbook_candidate,high,"Layered production checklist: persistence, safeguards, resilience, API, observability, evals."
src_opencode_workflow_20260310,GitHub – CloudAI-X/opencode-workflow,https://github.com/CloudAI-X/opencode-workflow,github-repo,community-repo,2026-03-10,c,readme-reviewed,yes,yes,github:CloudAI-X/opencode-workflow,template_candidate,medium_high,"6-phase orchestrator loop; commands, skills, plugins, guardrails, adversarial verification."
src_mission_control_20260310,GitHub – builderz-labs/mission-control,https://github.com/builderz-labs/mission-control,github-repo,community-repo,2026-03-10,c,readme-plus-openapi-changelog,yes,yes,github:builderz-labs/mission-control,handbook_candidate,high,"Control plane dashboard for agent ops, RBAC, review gates, audit-friendly API."
src_project_orchestrator_20260310,GitHub – this-rs/project-orchestrator,https://github.com/this-rs/project-orchestrator,github-repo,community-repo,2026-03-10,c,readme-plus-docs-reviewed,yes,yes,github:this-rs/project-orchestrator,handbook_candidate,high,Shared brain via graph/search; knowledge notes; mega-tool API; task claiming.
src_arxiv_2603_03329_20260210,arXiv:2603.03329 – AutoHarness: improving LLM agents by automatically synthesizing a code harness,https://arxiv.org/abs/2603.03329,preprint,arxiv,2026-02-10,b,fulltext-reviewed,yes,no,arxiv:2603.03329,template_candidate,high,Auto-synthesized verifier harness; legality layer; harness can beat larger model.
src_agency_agents_20260310,GitHub – msitarzewski/agency-agents,https://github.com/msitarzewski/agency-agents/,github-repo,community-repo,2026-03-10,c,readme-plus-sample-agent-reviewed,yes,yes,github:msitarzewski/agency-agents,template_candidate,medium,"Role-library pattern; mission, workflow, deliverables, success metrics; cross-tool packaging."
src_arxiv_2603_05344_20260305,"arXiv:2603.05344 – Building AI Coding Agents for the Terminal: Scaffolding, Harness, Context Engineering, and Lessons Learned",https://arxiv.org/abs/2603.05344,preprint,arxiv,2026-03-05,b,fulltext-reviewed,yes,no,arxiv:2603.05344,handbook_candidate,high,"Terminal-native runtime patterns: context compaction, reminders, dual-agent roles, safety layers."
src_awesome_software_architecture_20260310,GitHub – mehdihadeli/awesome-software-architecture,https://github.com/mehdihadeli/awesome-software-architecture,awesome-list,curated-link-list,2026-03-10,c,readme-reviewed,yes,yes,github:mehdihadeli/awesome-software-architecture,library_only,low_medium,Background library for general software architecture; low direct ASWE delta.
src_openai_skills_agents_sdk_2026,OpenAI Developer Blog – Using skills to accelerate OSS maintenance,https://developers.openai.com/blog/skills-agents-sdk,blog,vendor-engineering-blog,2026-??-??,c,fulltext-reviewed,yes,no,url:developers.openai.com/blog/skills-agents-sdk,template_candidate,high,Mandatory skill triggers in AGENTS.md; descriptions as routing contracts; scripts for mechanics.
src_clawvault_20260310,GitHub – Versatly/clawvault,https://github.com/Versatly/clawvault,github-repo,community-repo,2026-03-10,c,readme-plus-selected-files,yes,yes,github:Versatly/clawvault,handbook_candidate,high,Markdown-native persistent memory; boot context vs full vault; session lifecycle ops.
